cat_num,LUPI,OPD,min_mean,max_mean,min_var,max_var,min_99ci,max_99ci
10293,8,8,0.64,0.68,0.1,0.13,1.37,1.51
10393,2,2,1.26,1.52,0.68,1.74,3.19,4.51
10393,2,4,1.03,1.31,0.46,0.96,2.6,3.56
10393,2,6,0.96,1.23,0.43,0.77,2.45,3.27
10393,2,8,1.01,1.19,0.47,0.76,2.63,3.18
10393,4,2,1.7,1.99,1.19,1.91,4.3,5.13
10393,4,4,1.27,1.66,0.76,1.21,3.3,4.19
10393,4,6,1.22,1.5,0.71,1.17,3.19,3.99
10393,4,8,1.18,1.36,0.61,0.94,3.01,3.59
10393,6,2,1.93,2.93,1.01,5.14,4.57,7.89
10393,6,4,1.51,2.14,0.65,2.65,3.55,5.73
10393,6,6,1.46,1.93,0.71,1.8,3.43,4.98
10393,6,8,1.49,1.87,0.74,1.42,3.5,4.6
10393,8,2,2.12,3.29,1.11,7.19,4.86,9.15
10393,8,4,1.96,2.44,1.13,2.86,4.48,6.26
10393,8,6,1.74,2.09,0.83,1.89,3.92,5.18
10393,8,8,0.56,0.59,10.08,0.09,1.21,1.3
14199,2,2,14.83,20.02,124.84,295.8,40.42,59.47
14199,2,4,9.77,13.85,31.74,135.26,43.72,39.63
14199,2,6,8.89,12.44,54.2,233.04,20.13,43.07
14199,2,8,10.61,12.76,77.51,136.23,30.78,39.78
14199,4,2,16.6,24.67,54.2,1046.81,40.49,90.76
14199,4,4,14.44,19.16,97.08,277.72,38.39,56.4
14199,4,6,11.17,16.19,61.54,205.17,30.62,48.04
14199,4,8,9.51,12.69,47.39,136.55,25.31,39.28
14199,6,2,19.55,26.86,151.66,865.84,53.99,89.57
14199,6,4,8.95,20.66,54.2,474.49,22.6,61.11
14199,6,6,7.65,11.03,20.57,106.35,19.28,33.62
14199,6,8,6.56,8.44,15.27,46.23,15.77,23.81
14199,8,2,11.97,23.97,54.2,722.68,24.98,74.51
14199,8,4,8.07,13.81,0.83,213.65,18.97,44.21
14199,8,6,6.7,9.96,11.71,2.53,16.44,29.57
14199,8,8,6.34,8.15,17.52,19.16,12.92,17.98
14443,2,2,2.42,3.21,2.53,6.61,6.06,9.09
14443,2,4,1.98,2.2,1.86,2.36,5.24,5.68
14443,2,6,1.81,2.07,1.28,2.31,4.46,5.54
14443,2,8,1.62,1.92,1.22,2,4.2,5.17
14443,4,2,3.24,4.3,5.1,9.88,8.34,11.6
14443,4,4,2.57,3.71,2.83,7.92,6.63,10.03
14443,4,6,2.23,3.29,1.8,6.34,5.52,8.9
14443,4,8,2.16,2.8,2.09,4.29,5.52,7.56
14443,6,2,4.09,5.99,8.08,31.08,10.81,18.46
14443,6,4,3.59,4.64,5.24,15.14,9.15,13.36
14443,6,6,3.36,4.1,5.53,10.63,8.81,11.58
14443,6,8,3.36,3.85,5.8,11.17,8.98,11.51
14443,8,2,5.27,7.36,14.64,30.84,14.31,19.97
14443,8,4,5.21,6.71,11.55,21.15,13.11,17.29
14443,8,6,4.72,5.8,8.87,15.54,11.66,14.87
14443,8,8,1,1.03,0.25,0.29,2.17,2.27
15141,2,2,21.64,31.46,487.95,1404.68,72.85,116.61
15141,2,4,21.99,28.8,530.1,1155.96,75.26,106.76
15141,2,6,21,28.41,455.47,978.87,70.75,100.01
15141,2,8,22.03,25.82,467.74,864.38,72.84,93.13
15141,4,2,29.39,47,86.08,2031.48,69.17,141.68
15141,4,4,27.75,33.51,339.87,775.17,72.27,95.77
15141,4,6,24.66,29.58,232.68,499.46,60.29,80.48
15141,4,8,23.47,28.31,239.09,443.33,60.59,75.74
15141,6,2,38.38,54.89,474.79,1067.75,89.09,129.23
15141,6,4,35.31,48.29,422.1,1328.83,83.38,130.7
15141,6,6,34.69,41.05,308.38,663.55,75.21,100.16
15141,6,8,34.46,38.45,299.1,525.48,74.64,91.29
15141,8,2,44.77,65.6,358.74,994.31,90.71,135.61
15141,8,4,39.58,52.65,274.12,482.2,79.47,101.96
15141,8,6,37.4,47.7,263.32,386.98,79.02,89.39
15141,8,8,38.27,45.63,245.63,324.44,75.84,86.28
15259,2,2,2.04,2.56,1.55,3.16,4.98,6.61
15259,2,4,1.83,2.56,1.64,5.2,4.87,7.66
15259,2,6,1.61,2.28,1.14,3.82,4.22,6.64
15259,2,8,1.52,2,1.33,3.57,4.19,6.29
15259,4,2,2.16,2.94,1.52,7.42,5.31,8.86
15259,4,4,1.98,3.06,2.24,7.77,5.4,9.34
15259,4,6,1.43,2.09,0.85,3.52,3.6,6.28
15259,4,8,1.03,1.46,0.42,1.34,2.59,4.03
15259,6,2,2.18,3.54,1.9,8.56,5.57,9.96
15259,6,4,1.28,2.14,0.36,3.75,3.17,6.26
15259,6,6,1.16,1.67,0.35,1.83,2.69,4.63
15259,6,8,0.91,1.24,0.24,0.81,2.15,3.21
15259,8,2,2.22,3.89,2.26,10.97,5.64,11.28
15259,8,4,1.38,1.86,1.05,2.2,3.82,5.18
15259,8,6,1.36,1.89,0.97,2.07,3.75,5.11
15259,8,8,0.57,0.75,0.1,0.17,1.3,1.7
15584,2,2,189.4,225.47,17671.3,26701.23,503.21,598.48
15584,2,4,123.62,161.46,9317.29,13954.9,351.06,432.14
15584,2,6,68.16,88.76,6604.32,9418.69,258.28,312.53
15584,2,8,3.98,6.69,76.26,81.52,10.6,25.33
17429,2,2,1.97,2.36,1.18,4.61,4.81,7.05
17429,2,4,1.73,2.04,0.96,3.24,4.25,6.01
17429,2,6,1.64,2.08,1.15,3.02,4.23,5.98
17429,2,8,1.73,1.94,1.59,2.36,4.68,5.49
17429,4,2,3.03,4.17,4.56,20.02,8.39,14.05
17429,4,4,3.17,3.85,6.58,10.25,9.13,11.25
17429,4,6,2.78,3.52,4.65,9.5,7.92,10.51
17429,4,8,2.64,3.16,4,6.95,7.36,9.18
17429,6,2,4.33,5.9,9.91,30.32,12.13,18.15
17429,6,4,4.16,5.23,10.3,27.97,12.12,17.02
17429,6,6,3.95,4.78,10.4,21.46,11.63,15.29
17429,6,8,3.71,4.38,8.47,20.53,10.87,14.52
17429,8,2,5.64,8.82,16.94,59.17,15.77,25.93
17429,8,4,5.35,6.58,21.03,30.86,16.22,19.22
17429,8,6,5.32,6.15,18.44,30.12,15.45,18.67
17429,8,8,0.95,1.05,0.24,0.33,2.11,2.36
19643,2,2,2.12,2.7,2.7,6.83,6.06,8.61
19643,2,4,1.41,1.93,1.24,2.33,4.01,5.43
19643,2,6,1.48,1.8,1.36,2.69,4.21,5.56
19643,2,8,1.38,1.64,1.35,2.06,4.08,4.95
19643,4,2,2.78,3.46,4.51,8.87,7.82,10.23
19643,4,4,2.27,2.85,3.52,6.69,6.72,8.74
19643,4,6,2.07,2.5,3.52,5.34,6.47,7.81
19643,4,8,1.81,2.24,2.51,4.27,5.52,6.98
19643,6,2,3.71,4.79,8.62,21.68,10.79,15.27
19643,6,4,3.49,4.22,7.64,14.64,10.03,12.94
19643,6,6,3.12,3.87,7.51,11.99,9.69,11.7
19643,6,8,3.13,3.68,6.93,10.65,9.33,11.15
19643,8,2,6.07,8.52,26.5,58.81,17.99,26.01
19643,8,4,5.18,6.93,18.81,33.05,15.25,20.15
19643,8,6,5,6.27,17.53,29.77,14.9,18.69
19643,8,8,0.73,0.76,0.13,0.15,1.58,1.66
19859,2,2,2.16,3.55,4.71,17.78,6.86,13.14
19859,2,4,1.73,2.26,1.73,2.78,4.76,6.13
19859,2,6,1.5,1.91,1.06,2.74,3.98,5.64
19859,2,8,1.48,1.85,1.07,2.26,3.95,5.26
19859,4,2,2.15,3.4,2.61,8.11,5.79,9.9
19859,4,4,1.91,2.73,2.12,5.06,5.11,7.95
19859,4,6,1.76,2.33,1.75,4,4.86,6.89
19859,4,8,1.64,2.07,1.25,2.81,4.26,5.89
19859,6,2,2.43,4.1,2.74,15.25,6.77,12.65
19859,6,4,2.05,2.82,2.04,5.29,5.36,8.06
19859,6,6,1.82,2.42,1.49,3.49,4.67,6.68
19859,6,8,1.74,2.3,0.96,3.16,4.17,6.26
19859,8,2,1.98,3.43,1.36,7.58,4.98,9.46
19859,8,4,2.02,3.34,1.52,5.92,5.03,8.76
19859,8,6,2.08,3.04,1.74,4.51,5.3,7.81
19859,8,8,0.72,0.79,0.13,0.19,1.57,1.78
20335,2,2,221.25,272.45,26671.12,35662.2,610.6,701.1
20335,2,4,124.21,159.24,13770.2,18708.94,403.52,470.21
20335,2,6,67.04,81.81,6821.62,11403.47,261.2,326.02
20335,2,8,4.18,5.99,5.61,36.41,10.7,19.08
